Date,Baseline,AU & AD & S
2020-08-31,-16330.0,-16330.0
2020-09-01,-14650.0,-14650.0
2020-09-02,-12810.0,-12810.0
2020-09-03,-14960.0,-14960.0
2020-09-04,-16210.0,-16210.0
2020-09-08,-14000.0,-14000.0
2020-09-09,-14840.0,-14840.0
2020-09-10,-14980.0,-14980.0
2020-09-11,-16450.0,-16450.0
2020-09-14,-16950.0,-16950.0
2020-09-15,-16960.0,-16960.0
2020-09-16,-16110.0,-16110.0
2020-09-17,-17980.0,-17980.0
2020-09-18,-19570.0,-19570.0
2020-09-21,-22790.0,-22790.0
2020-09-22,-20990.0,-20990.0
2020-09-23,-24920.0,-24920.0
2020-09-24,-25710.0,-25710.0
2020-09-25,-24200.0,-24200.0
2020-09-28,-22210.0,-22210.0
2020-09-29,-22800.0,-22800.0
2020-09-30,-24120.0,-24120.0
2020-10-01,-24890.0,-24890.0
2020-10-02,-25650.0,-25650.0
2020-10-05,-24830.0,-24830.0
2020-10-06,-27270.0,-27270.0
2020-10-07,-25290.0,-25290.0
2020-10-08,-25110.0,-25110.0
2020-10-09,-23220.0,-23220.0
2020-10-12,-23230.0,-23230.0
2020-10-13,-19240.0,-19240.0
2020-10-14,-21610.0,-21610.0
2020-10-15,-20840.0,-20840.0
2020-10-16,-21390.0,-21390.0
2020-10-19,-23970.0,-23970.0
2020-10-20,-23250.0,-23250.0
2020-10-21,-21570.0,-21570.0
2020-10-22,-20640.0,-20640.0
2020-10-23,-19850.0,-19850.0
2020-10-26,-24140.0,-24140.0
2020-10-27,-24890.0,-24890.0
2020-10-28,-29730.0,-29730.0
2020-10-29,-26660.0,-26660.0
2020-10-30,-26950.0,-26950.0
2020-11-02,-28070.0,-28070.0
2020-11-03,-24180.0,-24180.0
2020-11-04,-23130.0,-23130.0
2020-11-05,-21240.0,-21240.0
2020-11-06,-20740.0,-20740.0
2020-11-09,-5610.0,-5610.0
2020-11-10,-6090.0,-6090.0
2020-11-11,-10380.0,-10380.0
2020-11-12,-12680.0,-12680.0
2020-11-13,-9840.0,-9840.0
2020-11-16,-3530.0,-3530.0
2020-11-17,-3700.0,-3700.0
2020-11-18,-4300.0,-4300.0
2020-11-19,-6480.0,-6480.0
2020-11-20,-7130.0,-7130.0
2020-11-23,-2220.0,-2220.0
2020-11-24,3290.0,3290.0
2020-11-25,890.0,890.0
2020-11-27,-1070.0,-1070.0
2020-11-30,-190.0,-190.0
2020-12-01,1240.0,1240.0
2020-12-02,5410.0,5410.0
2020-12-03,5040.0,5040.0
2020-12-04,5940.0,5940.0
2020-12-07,5480.0,5480.0
2020-12-08,5520.0,5520.0
2020-12-09,6230.0,6230.0
2020-12-10,6490.0,6490.0
2020-12-11,27520.0,27520.0
2020-12-14,21100.0,21100.0
2020-12-15,25740.0,25740.0
2020-12-16,24920.0,24920.0
2020-12-17,25350.0,25350.0
2020-12-18,24690.0,24690.0
2020-12-21,22490.0,22490.0
2020-12-22,22250.0,22250.0
2020-12-23,25350.0,25350.0
2020-12-24,25530.0,25530.0
2020-12-28,30660.0,30660.0
2020-12-29,29100.0,29100.0
2020-12-30,32970.0,32970.0
2020-12-31,32980.0,32980.0
2021-01-04,29480.0,29480.0
2021-01-05,30240.0,30240.0
2021-01-06,30920.0,30920.0
2021-01-07,30380.0,30380.0
2021-01-08,30490.0,30490.0
2021-01-11,30890.0,30890.0
2021-01-12,27790.0,27790.0
2021-01-13,27920.0,27920.0
2021-01-14,25230.0,25230.0
2021-01-15,23240.0,23240.0
2021-01-19,24060.0,24060.0
2021-01-20,25440.0,25440.0
2021-01-21,23080.0,23080.0
2021-01-22,24580.0,24580.0
2021-01-25,23690.0,23690.0
2021-01-26,21360.0,21360.0
2021-01-27,14830.0,14830.0
2021-01-28,23680.0,23680.0
2021-01-29,19970.0,19970.0
2021-02-01,22770.0,22770.0
2021-02-02,28760.0,28760.0
2021-02-03,28230.0,28230.0
2021-02-04,32030.0,32030.0
2021-02-05,32960.0,32960.0
2021-02-08,41800.0,41800.0
2021-02-09,40010.0,40010.0
