Date,Baseline,BBP & OBV & RSI & WPR,BBP & OBV & AU & WPR,BBP & OBV & AD & WPR,BBP & OBV & S & WPR,BBP & RSI & AU & WPR,BBP & RSI & AD & WPR,BBP & RSI & S & WPR,BBP & AU & AD & WPR,BBP & AU & S & WPR,BBP & AD & S & WPR,OBV & RSI & AU & WPR,OBV & RSI & AD & WPR,OBV & RSI & S & WPR,OBV & AU & AD & WPR,OBV & AU & S & WPR,OBV & AD & S & WPR,RSI & AU & AD & WPR,RSI & AU & S & WPR,RSI & AD & S & WPR,AU & AD & S & WPR
2020-01-30,-10390.0,-6230.0,-10390.0,-10390.0,-10390.0,-5770.0,-10390.0,-10390.0,-10390.0,-10390.0,-10390.0,-10390.0,-10390.0,-10390.0,-10390.0,-10390.0,-10390.0,10390.0,2080.0,-10390.0,-10390.0
2020-01-31,-9890.0,-5730.0,-9890.0,-9890.0,-9890.0,-6270.0,-9890.0,-9890.0,-9890.0,-9890.0,-9890.0,-9890.0,-9890.0,-9890.0,-9890.0,-9890.0,-9890.0,9890.0,2080.0,-9890.0,-9890.0
2020-02-03,-6880.0,-8740.0,-6880.0,-6880.0,-6880.0,-9280.0,-6880.0,-6880.0,-6880.0,-6880.0,-6880.0,-6880.0,-6880.0,-6880.0,-6880.0,-6880.0,-6880.0,6880.0,-930.0,-6880.0,-6880.0
2020-02-04,-3470.0,-5330.0,-3470.0,-3470.0,-3470.0,-9280.0,-3470.0,-3470.0,-3470.0,-3470.0,-3470.0,-3470.0,-3470.0,-3470.0,-3470.0,-3470.0,-3470.0,3470.0,-930.0,-3470.0,-3470.0
2020-02-05,-6830.0,-1970.0,-6830.0,-6830.0,-6830.0,-9280.0,-6830.0,-6830.0,-6830.0,-6830.0,-6830.0,-6830.0,-6830.0,-6830.0,-6830.0,-6830.0,-6830.0,6830.0,2430.0,-6830.0,-6830.0
2020-02-06,-5500.0,-640.0,-5500.0,-5500.0,-5500.0,-9280.0,-5500.0,-5500.0,-5500.0,-5500.0,-5500.0,-5500.0,-5500.0,-5500.0,-5500.0,-5500.0,-5500.0,5500.0,2430.0,-5500.0,-5500.0
2020-02-07,-7180.0,1040.0,-7180.0,-7180.0,-7180.0,-9280.0,-7180.0,-7180.0,-7180.0,-7180.0,-7180.0,-7180.0,-7180.0,-7180.0,-7180.0,-7180.0,-7180.0,7180.0,4110.0,-7180.0,-7180.0
2020-02-10,-5610.0,2610.0,-5610.0,-5610.0,-5610.0,-9280.0,-5610.0,-5610.0,-5610.0,-5610.0,-5610.0,-5610.0,-5610.0,-5610.0,-5610.0,-5610.0,-5610.0,5610.0,4110.0,-5610.0,-5610.0
2020-02-11,-7190.0,4190.0,-7190.0,-7190.0,-7190.0,-9280.0,-7190.0,-7190.0,-7190.0,-7190.0,-7190.0,-7190.0,-7190.0,-7190.0,-7190.0,-7190.0,-7190.0,7190.0,5690.0,-7190.0,-7190.0
2020-02-12,-6350.0,5030.0,-6350.0,-6350.0,-6350.0,-9280.0,-6350.0,-6350.0,-6350.0,-6350.0,-6350.0,-6350.0,-6350.0,-6350.0,-6350.0,-6350.0,-6350.0,6350.0,5690.0,-6350.0,-6350.0
