Learner 1,Learner 2,Learner 3,Learner 4,Learner 5,Learner 6,Learner 7
49560,49710,  53240.0,  51000.0,  42790.00000000003,  48629.99999999997,  35890.00000000003
26240,34280,  31970.0,  45550.0,  23570.0,  28400.0,  29730.0
44530,34530,  38940.0,  15930.0,  44340.0,  36020.0,  36080.0
42170,44260,  40580.0,  41750.0,  35270.0,  41159.99999999997,  40370.0
37540,36000,  35060.0,  45140.0,  35950.0,  37130.0,  37860.0
37770,38420,  33320.0,  41170.0,  39730.0,  37280.0,  39580.0
32610,33960,  35440.0,  32620.0,  33590.0,  30310.0,  32670.0
36700,34510,  35760.0,  40310.0,  35190.0,  36100.0,  32570.0
41660,40070,  44920.0,  43500.0,  45940.0,  48900.0,  48390.0
20620,15990,  24840.0,  52259.99999999991,  26770.0,  13800.0,  29480.0
34270,27110,  34190.0,  13239.99999999997,  32920.0,  36170.0,  35230.0
23910,29170,  28180.0,  30209.99999999997,  23290.0,  26420.0,  36720.0
34690,34070,  36640.0,  86549.99999999997,  34130.0,  24280.0,  37800.0
36990,25980,  30500.0,  58129.99999999994,  31000.0,  29380.0,  27150.0
32920,34500,  40439.99999999997,  66139.99999999994,  38539.99999999997,  26900.0,  36480.0
25210,34660,  24000.0,  70309.99999999997,  26420.0,  24070.0,  20310.00000000003
39670,36880,  34390.0,  59310.0,  37520.0,  37300.0,  43750.0
35190,41130,  36720.0,  55959.99999999994,  34850.0,  34120.0,  30400.00000000003
37930,45120,  46510.0,  74229.99999999991,  40760.0,  40540.0,  44380.0
38840,41100,  42270.00000000003,  53129.999999999854,  48480.0,  45600.0,  46170.0
29690,30850,  25860.0,  66139.99999999994,  33110.0,  31380.0,  28180.0
38210,29570,  35590.0,  38219.99999999997,  34660.0,  29160.0,  37070.0
37410,39140,  32120.00000000006,  64259.99999999994,  31890.00000000003,  24870.0,  35160.00000000003
29090,37160,  8969.99999999997,  44869.99999999994,  22050.0,  34000.0,  8109.999999999971
30600,31650,  37250.0,  48759.99999999994,  34610.0,  34490.0,  28670.0
36800,36480,  36570.0,  74099.99999999997,  38140.0,  35140.0,  36570.0
29960,26750,  23300.0,  19539.99999999997,  21530.00000000003,  27750.00000000003,  23860.0
38650,32850,  39310.0,  55859.99999999997,  35090.0,  42820.0,  36590.0
41840,38330,  42540.0,  75299.99999999997,  41330.0,  40930.0,  37370.0
33150,34120,  35180.0,  71619.99999999997,  33760.0,  34010.0,  35040.0
25850,28720,  26750.0,  66319.99999999988,  30320.0,  35270.0,  34080.0
35800,37020,  38230.0,  52969.99999999997,  37810.0,  34630.0,  36430.0
36950,37120,  30180.0,  65069.99999999994,  37710.0,  35480.0,  37180.0
30560,38370,  38850.0,  60319.99999999994,  38590.0,  38430.0,  30260.0
32210,34540,  28990.0,  39959.99999999994,  34400.0,  32980.0,  33850.0
36620,33230,  32360.0,  65560.00000000003,  33600.0,  35690.0,  32410.0
37360,33890,  31050.0,  53120.0,  35280.0,  35570.0,  31010.0
38190,36200,  36810.0,  19449.99999999997,  35460.0,  42160.0,  37450.0
34680,32950,  36110.0,  43869.99999999997,  34680.0,  33160.0,  35810.0
28600,35580,  35610.0,  73340.00000000006,  32000.0,  33340.0,  31270.0
33630,40320,  35760.0,  57199.99999999994,  35540.0,  35860.0,  42640.0
36000,35720,  33470.0,  59040.00000000003,  32810.0,  34130.0,  32600.0
32400,33270,  38600.0,  83209.99999999991,  39700.0,  36980.0,  37240.0
34710,34860,  36110.0,  71360.00000000003,  32410.0,  32980.0,  37060.0
32620,35100,  30930.0,  46730.00000000003,  32360.0,  30010.0,  35140.0
32350,34890,  35870.0,  73009.99999999991,  35440.0,  34470.0,  34520.0
34960,32090,  32880.0,  66650.00000000003,  33830.0,  31110.0,  33440.0
29680,35050,  32240.0,  33639.99999999994,  35620.0,  29440.0,  30210.0
37590,38170,  39120.0,  63279.99999999997,  39980.0,  40070.0,  35220.0
35420,34430,  32000.0,  60789.99999999997,  34180.0,  34430.0,  35900.0
29900,26930,  30320.0,  49719.99999999997,  25000.0,  33850.0,  29120.0
36030,36160,  35900.0,  54319.99999999994,  38150.0,  36160.0,  36160.0
36840,35550,  31140.0,  58039.99999999997,  30840.0,  36190.0,  32890.0
30300,33160,  37360.0,  72620.00000000003,  36130.0,  35680.0,  32150.0
31820,31800,  32660.0,  60690.00000000003,  38090.0,  35600.0,  34310.0
37460,39300,  39580.0,  65469.99999999991,  37740.0,  35760.0,  37600.0
37260,38320,  40060.0,  63819.99999999994,  38320.0,  39000.0,  36580.0
34020,34880,  34140.0,  60730.00000000003,  34160.0,  35900.0,  35100.0
39740,35330,  37250.0,  57129.99999999997,  37820.0,  34420.0,  36280.0
34330,33520,  35630.0,  64949.99999999997,  35410.0,  33520.0,  36660.0
39350,41480,  38670.0,  35039.99999999997,  35300.0,  42800.0,  34540.0
35740,35440,  36620.0,  59659.99999999997,  37860.0,  35440.0,  36660.0
34830,33060,  34040.0,  78150.00000000003,  35460.0,  35650.0,  35460.0
35600,39760,  37240.0,  75880.0,  34140.0,  37060.0,  36360.0
35900,36380,  36860.0,  64120.00000000003,  34360.0,  35610.0,  37630.0
37170,31770,  34000.0,  66769.99999999988,  41050.0,  33670.0,  37010.0
32210,35550,  38840.0,  60639.99999999997,  40670.0,  35430.0,  34350.0
39520,38920,  37110.0,  67419.99999999991,  38870.0,  37330.0,  35140.0
